Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Precaution_1,Precaution_2,Precaution_3,Precaution_4
fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
drug reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching,,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching,,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
